1572585050946,1572585038R,1,16779,17060,203
1572585050951,1572585038R,1,16779,17060,203
1572585050956,1572585038R,1,16779,17060,203
1572585050961,1572585038R,1,16779,17060,203
1572585050966,1572585038R,1,16779,17060,203
1572585050971,1572585038R,1,16779,17060,202
1572585050976,1572585038R,1,16779,17060,203
1572585050981,1572585038R,1,16779,17060,203
1572585050986,1572585038R,1,16779,17060,204
1572585050991,1572585038R,1,16779,17060,204
1572585050996,1572585038R,1,16779,17060,204
1572585051001,1572585038R,1,16779,17060,203
1572585051006,1572585038R,1,16767,17063,202
1572585051011,1572585038R,1,16767,17063,202
1572585051016,1572585038R,1,16767,17063,203
1572585051021,1572585038R,1,16754,17063,203
1572585051026,1572585038R,1,16754,17063,203
1572585051031,1572585038R,1,16743,17063,202
1572585051036,1572585038R,1,16743,17063,201
1572585051041,1572585038R,1,16734,17064,200
1572585051046,1572585038R,1,16734,17064,200
1572585051051,1572585038R,1,16734,17064,200
1572585051056,1572585038R,1,16724,17064,201
1572585051061,1572585038R,1,16724,17064,202
1572585051066,1572585038R,1,16724,17064,205
1572585051071,1572585038R,1,16715,17068,208
1572585051076,1572585038R,1,16715,17068,213
1572585051081,1572585038R,1,16715,17068,217
1572585051086,1572585038R,1,16715,17068,223
1572585051091,1572585038R,1,16715,17068,229
1572585051096,1572585038R,1,16705,17074,235
1572585051101,1572585038R,1,16705,17074,241
1572585051106,1572585038R,1,16705,17074,247
1572585051111,1572585038R,1,16705,17074,255
1572585051116,1572585038R,1,16705,17074,264
1572585051121,1572585038R,1,16705,17074,273
1572585051126,1572585038R,1,16705,17074,283
1572585051131,1572585038R,1,16705,17074,291
1572585051136,1572585038R,1,16696,17078,297
1572585051141,1572585038R,1,16696,17078,303
1572585051146,1572585038R,1,16696,17078,309
1572585051151,1572585038R,1,16696,17078,317
1572585051156,1572585038R,1,16696,17078,330
1572585051161,1572585038R,1,16696,17078,348
1572585051166,1572585038R,1,16696,17078,370
1572585051171,1572585038R,1,16696,17078,394
1572585051176,1572585038R,1,16696,17078,418
1572585051181,1572585038R,1,16696,17078,438
1572585051186,1572585038R,1,16696,17078,456
1572585051191,1572585038R,1,16696,17078,473
1572585051196,1572585038R,1,16696,17078,490
